iteration,L_upper,delta_L_delay_um,L_lower,Delta_L,objective,grad_L_upper,grad_delta_L_delay_um,channel1_transmission,channel1_crosstalk,channel1_insertion_loss_db,channel1_flatness_var,channel2_transmission,channel2_crosstalk,channel2_insertion_loss_db,channel2_flatness_var
0,26.0,15.0,41.0,15.0,149.38609313964844,78.79150390625,-36.2791748046875,0.10093671083450317,0.7462930679321289,14.81257152557373,0.015605941414833069,0.37132829427719116,0.49961981177330017,4.326460838317871,0.0015201043570414186
1,25.950000000006344,15.049999999986218,41.04999999998622,15.099999999979875,22.541362762451172,629.6983642578125,-719.9332885742188,0.42960524559020996,0.42375802993774414,4.803786754608154,0.06607144325971603,0.5849179625511169,0.2791750431060791,2.5023274421691895,0.02950340509414673
2,25.908923168057704,15.088845048449356,41.08884504844936,15.179921880391653,2.8136141300201416,41.42894744873047,-30.083356857299805,0.6626265645027161,0.2151835709810257,1.8251924514770508,0.006733960472047329,0.7757625579833984,0.09658869355916977,1.1213667392730713,0.0047094025649130344
3,25.875156376146187,15.12017874195651,41.12017874195651,15.245022365810321,4.589337348937988,-102.3323974609375,98.99259948730469,0.6104860901832581,0.24861972033977509,2.35731840133667,0.028795670717954636,0.8496694564819336,0.020530829206109047,0.7471030950546265,0.013015186414122581
4,25.852469271803088,15.1416530105617,41.1416530105617,15.28918373875861,15.052496910095215,-491.5973205566406,452.9091491699219,0.44217342138290405,0.40762075781822205,4.339285373687744,0.04101172462105751,0.8423413634300232,0.01599622704088688,0.7630909085273743,0.00572021771222353
5,25.853796498812482,15.142639956409694,41.142639956409695,15.288843457597213,14.84957218170166,-484.45526123046875,446.9866943359375,0.44302061200141907,0.4067440629005432,4.316081523895264,0.040570084005594254,0.8416090607643127,0.015942759811878204,0.7657715678215027,0.005353502929210663
6,25.86818840001149,15.131312945916225,41.13131294591622,15.26312454590473,7.057916164398193,-194.50241088867188,173.1725311279297,0.5480943322181702,0.3051770329475403,2.964566707611084,0.033857882022857666,0.8494732975959778,0.014247479848563671,0.7390424609184265,0.009903977625072002
7,25.88561421536837,15.117106133376348,41.117106133376346,15.231491918007976,3.521926164627075,-57.988441467285156,61.92434310913086,0.6424993276596069,0.2186291217803955,2.058946132659912,0.022334128618240356,0.8421449065208435,0.02886785753071308,0.7886775135993958,0.013658483512699604
8,25.90243978107004,15.103044231853515,41.10304423185352,15.200604450783477,2.589996099472046,4.258616924285889,14.091699600219727,0.6763463616371155,0.19422411918640137,1.7513400316238403,0.010817600414156914,0.8111144304275513,0.06198940798640251,0.944877028465271,0.010360166430473328
9,25.917268254585256,15.09021154099496,41.09021154099496,15.172943286409701,3.1721267700195312,56.87389373779297,-43.962364196777344,0.6527908444404602,0.22511397302150726,1.9031031131744385,0.008265122771263123,0.7636026740074158,0.10930999368429184,1.1964629888534546,0.0060840486548841
