iteration,L_upper,delta_L_delay_um,L_lower,Delta_L,objective,grad_L_upper,grad_delta_L_delay_um,ch1_transmission,ch1_crosstalk,ch1_insertion_loss_db,ch1_flatness_var,ch2_transmission,ch2_crosstalk,ch2_insertion_loss_db,ch2_flatness_var
0,16.0,7.64012871081586,23.64012871081586,7.640128710815858,6.748419284820557,170.98788452148438,-152.92066955566406,0.5149719715118408,0.35015636682510376,3.0933570861816406,0.02424534782767296,0.7955433130264282,0.06583310663700104,1.0048280954360962,0.003429361153393984
1,15.950000000002925,7.690128710812591,23.69012871081259,7.740128710809666,1.7898423671722412,-15.407051086425781,15.728503227233887,0.712277352809906,0.1363273411989212,1.4902632236480713,0.003891831962391734,0.8152275085449219,0.05707745626568794,0.8989235162734985,0.003574222791939974
2,15.919973099060101,7.719646955371842,23.719646955371843,7.799673856311742,11.824624061584473,-493.8111267089844,505.3252868652344,0.576898455619812,0.2909078598022461,2.459756374359131,0.010343530215322971,0.5343143343925476,0.3430374264717102,3.2188644409179688,0.047511857002973557
3,15.942530400353524,7.6957213638473005,23.6957213638473,7.753190963493777,2.195657253265381,-48.80292892456055,50.09493637084961,0.6998419761657715,0.15110132098197937,1.5656287670135498,0.003567055333405733,0.7884930372238159,0.08672638982534409,1.0645800828933716,0.008850477635860443
4,15.963630147305373,7.673465570685071,23.67346557068507,7.7098354233796975,1.9852464199066162,23.22201156616211,-21.30143165588379,0.7063320279121399,0.14027848839759827,1.5432665348052979,0.00719578517600894,0.8191741704940796,0.05071798339486122,0.8872213363647461,0.006746185477823019
5,15.980240402757646,7.655764863148695,23.655764863148697,7.675524460391051,3.2412123680114746,60.757530212402344,-50.1572265625,0.6438959836959839,0.20844419300556183,1.9932562112808228,0.014673165045678616,0.7892071604728699,0.07828343659639359,1.0477473735809326,0.005544322542846203
6,15.991458705660298,7.643035842725351,23.64303584272535,7.651577137065052,5.149847507476807,119.81192016601562,-105.24212646484375,0.5644332766532898,0.29767152667045593,2.6379587650299072,0.021398011595010757,0.7869998812675476,0.07489784806966782,1.0517879724502563,0.003306615399196744
7,15.995409873284947,7.637041878078787,23.637041878078787,7.6416320047938395,6.436547756195068,160.97259521484375,-142.47592163085938,0.5232028365135193,0.34435442090034485,3.010941982269287,0.023571673780679703,0.7920786142349243,0.06721100956201553,1.0229387283325195,0.003158117877319455
8,15.991681003447413,7.6382300388090805,23.63823003880908,7.646549035361668,5.7235636711120605,138.09857177734375,-121.47686004638672,0.5448518395423889,0.3214460015296936,2.809972047805786,0.022411907091736794,0.7881140112876892,0.07129350304603577,1.0445679426193237,0.003075303742662072
9,15.98265648990567,7.644437865697534,23.644437865697533,7.661781375791863,4.118053436279297,87.87518310546875,-76.08163452148438,0.6036452054977417,0.25671830773353577,2.3070907592773438,0.018377035856246948,0.7827116847038269,0.07948403805494308,1.0752085447311401,0.003079271176829934
10,15.971068673698474,7.653117347862176,23.653117347862178,7.682048674163704,2.852393865585327,50.43116760253906,-40.485809326171875,0.6625587344169617,0.19084016978740692,1.8537851572036743,0.012750780209898949,0.7923561930656433,0.07487659156322479,1.0292918682098389,0.0051886760629713535
11,15.958658360333072,7.662561550044052,23.662561550044053,7.7039031897109815,2.0912883281707764,28.201007843017578,-21.605472564697266,0.7013305425643921,0.1472567766904831,1.577843427658081,0.008013793267309666,0.8164845108985901,0.055448632687330246,0.904170572757721,0.007383935619145632
12,15.946361067987711,7.6719448609871135,23.671944860987114,7.725583792999403,1.7313987016677856,7.754764556884766,-5.073962211608887,0.7152199745178223,0.13144294917583466,1.4782140254974365,0.005103518720716238,0.8302229642868042,0.04469915106892586,0.8216711282730103,0.004454325884580612
13,15.934958845243019,7.680614753313106,23.680614753313108,7.7456559080700895,1.892214298248291,-26.0878849029541,27.997177124023438,0.7060844302177429,0.14096929132938385,1.5284870862960815,0.0038280149456113577,0.8100689649581909,0.06702596694231033,0.9277534484863281,0.0038427996914833784
14,15.925737880140062,7.687270046066383,23.687270046066384,7.761532165926322,2.697908639907837,-78.57141876220703,82.39290618896484,0.6832131147384644,0.1654752641916275,1.6729615926742554,0.00392622547224164,0.7623618245124817,0.11680178344249725,1.2283313274383545,0.012124362401664257
15,15.920678097314148,7.689810748641521,23.68981074864152,7.7691326513273715,3.4487736225128174,-117.92511749267578,123.25769805908203,0.6670305132865906,0.1826704889535904,1.7805496454238892,0.00441476097330451,0.729052722454071,0.15135954320430756,1.459972620010376,0.018879679962992668
16,15.92094145978054,7.687019552145725,23.687019552145724,7.766078092365184,3.1019351482391357,-100.27600860595703,105.03811645507812,0.6735339760780334,0.17533552646636963,1.7367541790008545,0.004163484554737806,0.7437928318977356,0.13674184679985046,1.3546169996261597,0.015700681135058403
17,15.925203681558937,7.6802574341920575,23.680257434192058,7.7550537526331205,2.2534327507019043,-52.56043243408203,55.4935188293457,0.693728506565094,0.15368951857089996,1.6051805019378662,0.0037077099550515413,0.7874752879142761,0.0927538052201271,1.0655943155288696,0.007433450780808926
18,15.9311821228058,7.6718762294464495,23.67187622944645,7.74069410664065,1.771859884262085,-15.043523788452148,17.795467376708984,0.7104433178901672,0.13656140863895416,1.5018161535263062,0.003878181567415595,0.8226563334465027,0.05706189200282097,0.8592910766601562,0.003593387547880411
19,15.937227054933158,7.663528873488422,23.663528873488424,7.726301818555266,1.6930667161941528,6.635636329650879,-1.5455008745193481,0.716533362865448,0.13166822493076324,1.4681068658828735,0.004723683465272188,0.8336402177810669,0.04414715617895126,0.8044118881225586,0.004567374940961599
20,15.942450808904747,7.656002099396608,23.65600209939661,7.713551290491862,1.815109372138977,19.279327392578125,-12.059746742248535,0.7133358120918274,0.13754256069660187,1.4934488534927368,0.0060438672080636024,0.826482355594635,0.04743319749832153,0.8450835347175598,0.005334176123142242
21,15.946399194547983,7.64966272158733,23.64966272158733,7.703263527039347,2.0105605125427246,27.853755950927734,-20.419443130493164,0.704967200756073,0.14944085478782654,1.5520979166030884,0.0075466264970600605,0.8132814764976501,0.05595454201102257,0.9139295220375061,0.0046953740529716015
22,15.948818514775667,7.644764470523924,23.644764470523924,7.6959459557482575,2.202446937561035,34.03725051879883,-27.62903594970703,0.6958571672439575,0.16198411583900452,1.6154979467391968,0.008839329704642296,0.8021093010902405,0.06310930103063583,0.971662700176239,0.003844807157292962
23,15.949572597990084,7.641497167995431,23.641497167995432,7.691924570005348,2.3274338245391846,37.65471649169922,-32.39399337768555,0.6898555755615234,0.1704833209514618,1.657383918762207,0.009588801302015781,0.7957192659378052,0.06692678481340408,1.0050066709518433,0.003415562678128481
24,15.948643046388783,7.639933262942371,23.63993326294237,7.691290216553588,2.3436787128448486,38.151527404785156,-32.96750259399414,0.689296305179596,0.1721799373626709,1.661255121231079,0.009648086503148079,0.7941485643386841,0.06749297678470612,1.0132173299789429,0.0033290020655840635
25,15.946144944885582,7.639958450369105,23.639958450369104,7.693813505483522,2.2507007122039795,35.65522003173828,-30.736848831176758,0.6941837668418884,0.16708798706531525,1.6271899938583374,0.009062215685844421,0.7969200015068054,0.06514066457748413,0.9981914758682251,0.003385500516742468
26,15.94231180451441,7.641345844345955,23.641345844345956,7.699034039831545,2.0833535194396973,30.924728393554688,-26.333974838256836,0.702542245388031,0.15742158889770508,1.5693279504776,0.007992696948349476,0.8037359118461609,0.060069721192121506,0.9614002108573914,0.0034802977461367846
27,15.93745488721319,7.643791012974514,23.643791012974514,7.706336125761323,1.8923126459121704,24.698711395263672,-19.548011779785156,0.7114072442054749,0.1465146243572235,1.5080509185791016,0.006667383946478367,0.8136891722679138,0.053078144788742065,0.9078362584114075,0.003521335544064641
28,15.931927183616367,7.646905748181199,23.646905748181197,7.714978564564831,1.7278540134429932,17.17927360534668,-11.514110565185547,0.7179422378540039,0.13769222795963287,1.461956262588501,0.005339954514056444,0.8242465257644653,0.04637911170721054,0.8510438203811646,0.003399897599592805
29,15.926114184460303,7.650272609934769,23.650272609934767,7.724158425474464,1.6302850246429443,8.00405502319336,-2.2384212017059326,0.7203640937805176,0.13318905234336853,1.442261815071106,0.004223722033202648,0.8315669298171997,0.04326483979821205,0.811524510383606,0.0031978548504412174
30,15.920451177241214,7.653444375478778,23.653444375478777,7.732993198237564,1.62447190284729,-3.1585464477539062,8.517822265625,0.7183864712715149,0.13359619677066803,1.4508179426193237,0.0034429177176207304,0.832423210144043,0.046308498829603195,0.8071907758712769,0.0033373443875461817
31,15.915438493118828,7.65593246740501,23.65593246740501,7.740493974286181,1.705127239227295,-15.535810470581055,20.261322021484375,0.7134135961532593,0.13761720061302185,1.479183554649353,0.003004829864948988,0.8268644213676453,0.054912637919187546,0.8391280770301819,0.004194597713649273
32,15.911603297420367,7.657232093445215,23.657232093445216,7.7456287960248495,1.8172659873962402,-26.206104278564453,30.435527801513672,0.7083023190498352,0.14236149191856384,1.5096579790115356,0.0028068351093679667,0.8192171454429626,0.06443203240633011,0.8839712142944336,0.005433784332126379
33,15.909358023469323,7.656947891157154,23.656947891157152,7.747589867687829,1.8720539808273315,-30.9317626953125,34.966217041015625,0.7061472535133362,0.14468027651309967,1.522464394569397,0.0027027938049286604,0.8153967261314392,0.06879337131977081,0.9067932963371277,0.006106457207351923
34,15.90880111981038,7.654986971917078,23.65498697191708,7.746185852106699,1.8228847980499268,-27.731163024902344,31.83433723449707,0.7083006501197815,0.1432468593120575,1.5088024139404297,0.002620166167616844,0.8179023861885071,0.06534501165151596,0.8916206359863281,0.005617039743810892
35,15.909640945407741,7.651637064534204,23.651637064534203,7.741996119126462,1.711606740951538,-18.9378604888916,23.143383026123047,0.7135235667228699,0.13940313458442688,1.4768117666244507,0.0026218725834041834,0.8238024711608887,0.05690785497426987,0.8556447625160217,0.004282601643353701
36,15.911335391045192,7.647437207728193,23.647437207728192,7.736101816683,1.6142345666885376,-8.619491577148438,12.51920223236084,0.7192484140396118,0.1357642114162445,1.442983627319336,0.002829307923093438,0.8280993103981018,0.04870437830686569,0.8285077810287476,0.002907582325860858
37,15.913306319429639,7.642983832394306,23.642983832394307,7.729677512964669,1.5738133192062378,0.5116330981254578,2.383441925048828,0.7234097719192505,0.13422276079654694,1.4199222326278687,0.003281982848420739,0.8281522393226624,0.044091690331697464,0.8258146643638611,0.002116939052939415
38,15.915074992398884,7.638808059146676,23.638808059146676,7.723733066747792,1.5889892578125,7.478083610534668,-5.981512546539307,0.7252747416496277,0.13506701588630676,1.411346435546875,0.0038731892127543688,0.8247607350349426,0.04322100430727005,0.8435092568397522,0.0020619481801986694
39,15.916304820569144,7.635314993332059,23.63531499333206,7.719010172762916,1.6326594352722168,12.226354598999023,-11.961673736572266,0.7253617644309998,0.1372726410627365,1.4132416248321533,0.004421413876116276,0.820315420627594,0.044379446655511856,0.8682132959365845,0.002481535542756319
40,15.916795639742295,7.632759015023377,23.632759015023378,7.715963375281083,1.6746543645858765,14.999756813049316,-15.620238304138184,0.7248153686523438,0.13945074379444122,1.418162226676941,0.004794081207364798,0.8167127966880798,0.04582413658499718,0.8887619972229004,0.002983414102345705
41,15.916462953414591,7.631255703230901,23.631255703230902,7.714792749816311,1.6941198110580444,15.96947956085205,-17.112823486328125,0.7246369123458862,0.14051946997642517,1.419832468032837,0.004930672701448202,0.8149662017822266,0.046503935009241104,0.8989370465278625,0.003299456089735031
42,15.915321883617509,7.630798444594252,23.63079844459425,7.715476560976743,1.6840282678604126,15.275752067565918,-16.670927047729492,0.7252551913261414,0.140102818608284,1.4156901836395264,0.004833613988012075,0.8152693510055542,0.046107370406389236,0.897325873374939,0.0033170958049595356
43,15.913473581618154,7.631278478679449,23.631278478679448,7.717804897061294,1.6503372192382812,13.053305625915527,-14.484884262084961,0.7264100909233093,0.1385633796453476,1.4074891805648804,0.0045410809107124805,0.8172197341918945,0.04492148384451866,0.8861052393913269,0.0030415186192840338
44,15.911092815592802,7.632501541066292,23.63250154106629,7.721408725473488,1.6080597639083862,9.446224212646484,-10.705668449401855,0.727392852306366,0.13673637807369232,1.399757742881775,0.004111806862056255,0.8199591040611267,0.043677739799022675,0.8702077269554138,0.0025799465365707874
